flow,name,parent
production,Production,
imports,Imports,
exports,Exports,
international_marine_bunkers,International marine bunkers,
international_aviation_bunkers,International aviation bunkers,
stock_changes,Stock changes,
total_primary_energy_supply,Total primary energy supply,
transfers,Transfers,total_primary_energy_supply
statistical_differences,Statistical differences,total_primary_energy_supply
main_activity_producer_electricity_plants,Main activity producer electricity plants,total_primary_energy_supply
autoproducer_electricity_plants,Autoproducer electricity plants,total_primary_energy_supply
main_activity_producer_chp_plants,Main activity producer CHP plants,total_primary_energy_supply
autoproducer_chp_plants,Autoproducer CHP plants,total_primary_energy_supply
main_activity_producer_heat_plants,Main activity producer heat plants,total_primary_energy_supply
autoproducer_heat_plants,Autoproducer heat plants,total_primary_energy_supply
heat_pumps,Heat pumps,total_primary_energy_supply
electric_boilers,Electric boilers,total_primary_energy_supply
chemical_heat_for_electricity_production,Chemical heat for electricity production,total_primary_energy_supply
blast_furnaces,Blast furnaces,total_primary_energy_supply
gas_works,Gas works,total_primary_energy_supply
coke_ovens,Coke ovens,total_primary_energy_supply
patent_fuel_plants,Patent fuel plants,total_primary_energy_supply
bkb_peat_briquettes_plants,BKB/peat briquettes plants,total_primary_energy_supply
oil_refineries,Oil refineries,total_primary_energy_supply
petrochemical_plants,Petrochemical plants,total_primary_energy_supply
liquefaction_plants,Liquefaction plants,total_primary_energy_supply
other_transformation,Other transformation,total_primary_energy_supply
energy_industry_own_use,Energy industry own use,total_primary_energy_supply
losses,Losses,total_primary_energy_supply
total_final_consumption,Total final consumption,total_primary_energy_supply
industry,Industry,total_final_consumption
mining_and_quarrying,Mining and quarrying,industry
construction,Construction,industry
manufacturing,Manufacturing,industry
iron_and_steel,Iron and steel,manufacturing
chemical_and_petrochemical,Chemical and petrochemical,manufacturing
non_ferrous_metals,Non-ferrous metals,manufacturing
non_metallic_minerals,Non-metallic minerals,manufacturing
transport_equipment,Transport equipment,manufacturing
machinery,Machinery,manufacturing
food_and_tobacco,Food and tobacco,manufacturing
paper_pulp_and_printing,"Paper, pulp and printing",manufacturing
wood_and_wood_products,Wood and wood products,manufacturing
textile_and_leather,Textile and leather,manufacturing
industry_not_elsewhere_specified,Industry not elsewhere specified,industry
transport,Transport,total_final_consumption
world_aviation_bunkers,World aviation bunkers,transport
domestic_aviation,Domestic aviation,transport
road,Road,transport
rail,Rail,transport
pipeline_transport,Pipeline transport,transport
world_marine_bunkers,World marine bunkers,transport
domestic_navigation,Domestic navigation,transport
transport_not_elsewhere_specified,Transport not elsewhere specified,transport
residential,Residential,total_final_consumption
commercial_and_public_services,Commercial and public services,total_final_consumption
agriculture_forestry,Agriculture/forestry,total_final_consumption
fishing,Fishing,total_final_consumption
final_consumption_not_elsewhere_specified,Final consumption not elsewhere specified,total_final_consumption
non_energy_use,Non-energy use,total_final_consumption
non_energy_use_industry_transformation_energy,Non-energy use industry/transformation/energy,non_energy_use
memo_non_energy_use_in_industry,Memo: Non-energy use in industry,non_energy_use_industry_transformation_energy
memo_non_energy_use_in_construction,Memo: Non-energy use in construction,memo_non_energy_use_in_industry
memo_non_energy_use_in_mining_and_quarrying,Memo: Non-energy use in mining and quarrying,memo_non_energy_use_in_industry
memo_non_energy_use_in_iron_and_steel,Memo: Non-energy use in iron and steel,memo_non_energy_use_in_industry
memo_non_energy_use_in_chemical_petrochemical,Memo: Non-energy use in chemical/petrochemical,memo_non_energy_use_in_industry
memo_non_energy_use_in_non_ferrous_metals,Memo: Non-energy use in non-ferrous metals,memo_non_energy_use_in_industry
memo_non_energy_use_in_non_metallic_minerals,Memo: Non-energy use in non-metallic minerals,memo_non_energy_use_in_industry
memo_non_energy_use_in_transport_equipment,Memo: Non-energy use in transport equipment,memo_non_energy_use_in_industry
memo_non_energy_use_in_machinery,Memo: Non-energy use in machinery,memo_non_energy_use_in_industry
memo_non_energy_use_in_food_beverages_tobacco,Memo: Non-energy use in food/beverages/tobacco,memo_non_energy_use_in_industry
memo_non_energy_use_in_paper_pulp_and_printing,Memo: Non-energy use in paper/pulp and printing,memo_non_energy_use_in_industry
memo_non_energy_use_in_wood_and_wood_products,Memo: Non-energy use in wood and wood products,memo_non_energy_use_in_industry
memo_non_energy_use_in_textiles_and_leather,Memo: Non-energy use in textiles and leather,memo_non_energy_use_in_industry
memo_non_energy_use_in_industry_not_elsewhere_specified,Memo: Non-energy use in industry not elsewhere specified,memo_non_energy_use_in_industry
non_energy_use_in_transport,Non-energy use in transport,non_energy_use
non_energy_use_in_other_sectors,Non-energy use in other sectors,non_energy_use
electricity_output_gwh,Electricity output (GWh),
electricity_output_gwh_main_activity_producer_electricity_plants,Electricity output (GWh)-main activity producer electricity plants,electricity_output_gwh
electricity_output_gwh_autoproducer_electricity_plants,Electricity output (GWh)-autoproducer electricity plants,electricity_output_gwh
electricity_output_gwh_main_activity_producer_chp_plants,Electricity output (GWh)-main activity producer CHP plants,electricity_output_gwh
electricity_output_gwh_autoproducer_chp_plants,Electricity output (GWh)-autoproducer CHP plants,electricity_output_gwh
heat_output,Heat output,
heat_output_main_activity_producer_chp_plants,Heat output-main activity producer CHP plants,heat_output
heat_output_autoproducer_chp_plants,Heat output-autoproducer CHP plants,heat_output
heat_output_main_activity_producer_heat_plants,Heat output-main activity producer heat plants,heat_output
heat_output_autoproducer_heat_plants,Heat output-autoproducer heat plants,heat_output
memo_efficiency_of_electricity_only_plants_main_and_auto_pct,Memo: Efficiency of electricity only plants (main and auto) (%),
memo_efficiency_of_electricity_and_heat_plants_pct,Memo: Efficiency of electricity and heat plants (%),
