name,product
Coal and coal products,coal_and_coal_products
Peat and peat products,peat_and_peat_products
Oil shale and oil sands,oil_shale_and_oil_sands
"Crude, NGL and feedstocks",crude_ngl_and_feedstocks
Oil products,oil_products
Natural gas,natural_gas
Nuclear,nuclear
Hydro,hydro
Geothermal,geothermal
Solar/wind/other,solar_wind_other
Biofuels and waste,biofuels_and_waste
Heat production from non-specified combustible fuels,heat_production_from_non_specified_combustible_fuels
Electricity,electricity
Heat,heat
Total,total
Memo: Renewables,memo_renewables
"Memo: Coal, peat and oil shale",memo_coal_peat_and_oil_shale
Memo: Primary and secondary oil,memo_primary_and_secondary_oil
"Memo: Geothermal, solar/wind/other, heat, electricity",memo_geothermal_solar_wind_other_heat_electricity
